Baton Rouge,18.824
Baton Rouge,12.206
Greensboro,-4.661
St. Louis,15.328
Lexington,20.507
Phoenix,0.38
Los Angeles,17.663
Riverside,21.161
Garland,-3.823
Las Vegas,-4.176
Madison,1.767
San Diego,1.183
Houston,9.739
Henderson,-1.383
Stockton,21.707
Durham,10.226
Garland,23.915
Honolulu,25.365
Tulsa,27.645
Omaha,17.36
Los Angeles,18.33
Baltimore,21.969
Jersey City,-3.909
Fort Worth,6.043
Mesa,17.567
Aurora,23.796
Pittsburgh,-4.671
Colorado Springs,25.571
Norfolk,12.342
Los Angeles,-4.18
Richmond,5.885
Fresno,23.769
Colorado Springs,3.986
Toledo,-3.421
Kansas City,16.341
Portland,15.82
Portland,0.814
Boston,22.538
Anaheim,3.337
Fort Worth,8.899
Detroit,13.71
Lubbock,5.28
Tucson,24.848
Jacksonville,2.977
Columbus,6.503
Plano,2.899
Lubbock,27.658
Stockton,14.042
Hialeah,15.149
Washington,14.439
Charlotte,8.726
Honolulu,8.527
San Francisco,26.847
Henderson,-1.87
Norfolk,11.774
Atlanta,7.064
Oakland,5.342
Kansas City,7.988
Austin,-3.82
Denver,18.613
Greensboro,19.869
Long Beach,10.096
Raleigh,21.764
Minneapolis,23.923
Laredo,14.246
Sacramento,20.221
St. Louis,11.17
Sacramento,29.642
Scottsdale,13.91
Irvine,-4.485
Fremont,-3.929
Santa Ana,-3.456
Irvine,11.75
San Diego,-0.416
Scottsdale,16.58
Boston,8.343
Henderson,21.059
Buffalo,17.399
Colorado Springs,0.949
Los Angeles,19.285
Cleveland,25.523
Omaha,3.323
Laredo,14.707
Madison,17.051
San Jose,16.402
Baton Rouge,12.321
Corpus Christi,14.455
Memphis,12.048
Orlando,4.581
Milwaukee,19.155
Anaheim,2.186
Fort Wayne,22.615
San Antonio,27.214
Cincinnati,12.587
Jacksonville,26.961
Los Angeles,4.423
Fort Worth,11.151
Boise,24.091
San Diego,10.569
Miami,26.846
Norfolk,19.692
Los Angeles,23.268
Garland,15.64
Albuquerque,5.644
Honolulu,1.45
Fremont,17.381
Indianapolis,22.733
San Diego,14.499
Portland,2.629
Fort Worth,13.619
Arlington,21.682
Riverside,18.593
Denver,22.707
Oakland,26.078
Riverside,-2.133
Stockton,25.657
Boise,27.014
San Jose,-4.289
El Paso,5.755
Louisville,10.676
Oakland,11.927
Atlanta,26.369
San Diego,-4.959
Fresno,8.019
New York,25.856
Oklahoma City,16.016
Houston,18.555
Nashville,19.633
New York,26.48
Arlington,-0.705
Madison,22.991
Greensboro,10.451
Irvine,-1.241
Sacramento,27.823
Garland,21.217
Henderson,28.559
New Orleans,6.518
Riverside,13.04
Winston Salem,9.619
Nashville,8.756
Orlando,-0.64
Lexington,0.312
Phoenix,3.529
Aurora,21.967
Reno,-0.648
Omaha,11.294
Portland,0.878
San Diego,1.366
San Francisco,13.791
San Antonio,21.758
San Jose,25.226
Chicago,-0.96
Laredo,10.943
Mesa,23.389
New York,27.638
Stockton,18.364
Louisville,22.426
Tulsa,9.134
Kansas City,4.668
St. Louis,-2.567
Santa Ana,22.413
Memphis,12.547
Jacksonville,21.654
Irvine,-1.461
San Francisco,5.949
Colorado Springs,12.622
Tampa,-0.288
Louisville,22.304
New Orleans,0.566
Tampa,16.729
Arlington,26.978
Scottsdale,1.663
San Jose,19.335
New York,13.903
Lexington,29.678
Memphis,28.312
Washington,24.984
Reno,21.071
New Orleans,12.725
New York,22.364
Norfolk,8.882
Dallas,16.297
Denver,6.909
Scottsdale,10.647
Memphis,27.261
Los Angeles,-3.806
North Las Vegas,-3.367
Detroit,12.71
Bakersfield,2.516
Madison,13.744
Albuquerque,3.479
Bakersfield,8.746
Phoenix,1.433
Memphis,13.338
Fort Worth,0.906
Lubbock,18.12
Minneapolis,22.703
Lincoln,29.4
Bakersfield,12.945
Henderson,7.441
Chandler,4.354
Honolulu,7.743
San Jose,-2.038
Norfolk,0.819
Chicago,5.266
Austin,21.504
Garland,11.711
Portland,27.715
Oklahoma City,23.62
Jersey City,17.592
Las Vegas,6.906
Detroit,11.755
Greensboro,-0.974
Glendale,9.576
El Paso,2.069
Baton Rouge,29.562
Albuquerque,-1.596
Chula Vista,23.08
Louisville,9.138
San Diego,17.451
Chicago,22.647
Indianapolis,9.314
Portland,19.161
Orlando,15.354
Saint Paul,17.189
Oakland,23.829
Tucson,-0.83
Oklahoma City,23.197
Riverside,25.048
San Francisco,25.394
Columbus,-2.52
Minneapolis,-3.041
Wichita,28.613
Richmond,19.902
Norfolk,6.319
Tucson,6.254
San Diego,19.667
Columbus,14.007
Lexington,20.258
Jacksonville,13.265
Scottsdale,25.75
Houston,19.085
Stockton,19.338
Miami,10.501
Lubbock,8.651
San Francisco,9.18
Colorado Springs,29.772
Riverside,26.957
Washington,9.325
Santa Ana,28.379
El Paso,26.79
San Francisco,22.581
Fresno,11.567
El Paso,9.56
Richmond,20.353
Charlotte,5.607
Cleveland,-3.777
Boston,-3.88
Portland,26.375
St. Petersburg,23.984
Boston,21.318
Los Angeles,1.373
Newark,20.139
Fremont,22.675
Phoenix,14.234
Scottsdale,14.401
Los Angeles,27.968
Seattle,8.808
100 Spokane,11.963
Corpus Christi,7.001
Jersey City,6.479
Greensboro,2.744
Reno,-0.956
Lexington,25.873
Honolulu,13.163
Boston,6.44
Norfolk,12.081
Garland,18.844
Cleveland,25.282
San Francisco,20.169
Laredo,19.629
San Jose,8.705
St. Louis,1.668
Louisville,25.961
Lincoln,20.741
Greensboro,9.024
Detroit,0.14
Chandler,-4.604
Jacksonville,14.544
Phoenix,17.13
Denver,11.698
Louisville,13.172
Fort Wayne,24.89
Phoenix,22.231
100 Spokane,-3.838
Tucson,13.143
Scottsdale,0.579
Sacramento,10.289
San Jose,28.194
Greensboro,24.384
Tucson,5.074
Norfolk,22.313
Chandler,21.05
Washington,-4.785
Anchorage,22.636
Fort Wayne,-0.891
Detroit,29.739
Bakersfield,4.679
Phoenix,8.795
Miami,17.432
Jacksonville,15.916
Louisville,24.132
Charlotte,11.554
Lubbock,3.772
Baton Rouge,-0.263
Kansas City,12.853
Hialeah,1.458
Washington,6.732
North Las Vegas,13.153
Scottsdale,10.972
Pittsburgh,24.564
Fremont,0.688
Kansas City,-2.463
Corpus Christi,19.717
Irvine,18.246
Albuquerque,12.838
Minneapolis,17.13
Charlotte,-0.958
Fort Wayne,23.627
Boise,4.952
Columbus,14.55
San Jose,-1.127
Pittsburgh,-1.553
Fort Wayne,0.657
New York,-3.518
Fresno,2.59
Chesapeake,4.02
Orlando,27.491
Irvine,27.426
San Jose,6.702
Columbus,14.796
Henderson,-4.878
Durham,11.077
Plano,17.496
Boise,27.239
Pittsburgh,5.694
Tulsa,1.635
Buffalo,2.894
Austin,2.376
Fresno,21.692
Henderson,3.893
Irving,20.483
Richmond,1.309
Lexington,18.388
Boise,3.501
New York,-1.507
Aurora,26.481
Laredo,8.572
Fremont,-0.686
Virginia Beach,9.961
Tampa,14.089
Plano,16.712
Arlington,6.256
Portland,6.052
Anchorage,25.413
Las Vegas,20.155
Jacksonville,16.155
Milwaukee,10.16
Tucson,-2.808
Philadelphia,-3.073
Mesa,1.272
Anaheim,6.11
Hialeah,8.138
Fremont,24.887
Nashville,5.843
Kansas City,9.858
Austin,-2.487
Minneapolis,18.589
Phoenix,16.801
Houston,17.124
Corpus Christi,-0.278
Greensboro,0.497
Albuquerque,13.498
Lubbock,28.981
Pittsburgh,-4.901
San Jose,28.607
Greensboro,20.467
Scottsdale,7.709
Irvine,7.417
Riverside,14.502
Henderson,10.492
Cincinnati,-1.816
Portland,28.406
Washington,16.859
Los Angeles,-4.147
Louisville,20.554
Fort Worth,12.561
Columbus,-4.799
Boston,-2.743
Lexington,-3.846
